OPD_DATE,VEHICLE_ID,RTE,DIR,TRIP_ID,STOP_ID,STOP_NAME,SCH_STOP_TM,ACT_STOP_TM
2016-03-26,6201,673,S,30908177,431,"3RD AVE & PIKE ST (431)",01:11:57,01:13:19
2016-03-26,6201,673,S,30908033,431,"3RD AVE & PIKE ST (431)",23:19:57,23:16:13
2016-03-26,6201,673,S,30908028,431,"3RD AVE & PIKE ST (431)",21:19:57,21:18:46
2016-03-26,6201,673,S,30908019,431,"3RD AVE & PIKE ST (431)",19:04:57,19:01:49
2016-03-26,6201,673,S,30908252,431,"3RD AVE & PIKE ST (431)",16:42:57,16:42:39
2016-03-26,6201,673,S,30908000,431,"3RD AVE & PIKE ST (431)",14:18:57,14:13:30
2016-03-26,6201,673,S,30907990,431,"3RD AVE & PIKE ST (431)",11:54:57,11:53:52
2016-03-26,6201,673,S,30908238,431,"3RD AVE & PIKE ST (431)",09:42:57,09:40:20
2016-03-26,6116,673,S,30908032,431,"3RD AVE & PIKE ST (431)",22:49:57,22:46:47
2016-03-26,6116,673,S,30908026,431,"3RD AVE & PIKE ST (431)",20:49:57,20:53:25
2016-03-26,6116,673,S,30908636,431,"3RD AVE & PIKE ST (431)",18:38:57,18:35:07
2016-03-26,6116,673,S,30908008,431,"3RD AVE & PIKE ST (431)",16:18:57,16:17:48
2016-03-26,6116,673,S,30907998,431,"3RD AVE & PIKE ST (431)",13:54:57,13:53:27
2016-03-26,6116,673,S,30907989,431,"3RD AVE & PIKE ST (431)",11:30:57,11:29:24
2016-03-26,6116,673,S,30907980,431,"3RD AVE & PIKE ST (431)",09:18:57,09:16:06
2016-03-26,6116,673,S,30907972,431,"3RD AVE & PIKE ST (431)",07:19:57,07:19:01
2016-03-26,6110,673,S,30908205,431,"3RD AVE & PIKE ST (431)",02:09:57,02:09:19
2016-03-26,6110,673,S,30908260,431,"3RD AVE & PIKE ST (431)",23:49:57,23:52:01
2016-03-26,6110,673,S,30908178,431,"3RD AVE & PIKE ST (431)",21:49:57,21:50:46
2016-03-26,6110,673,S,30908021,431,"3RD AVE & PIKE ST (431)",19:34:57,19:35:01
2016-03-26,6090,673,S,30908259,431,"3RD AVE & PIKE ST (431)",23:04:57,23:03:59
2016-03-26,6090,673,S,30908027,431,"3RD AVE & PIKE ST (431)",21:04:57,21:05:45
2016-03-26,6090,673,S,30908018,431,"3RD AVE & PIKE ST (431)",18:49:57,18:50:11
2016-03-26,6090,673,S,30908009,431,"3RD AVE & PIKE ST (431)",16:30:57,16:30:43
2016-03-26,6090,673,S,30907999,431,"3RD AVE & PIKE ST (431)",14:06:57,14:05:18
2016-03-26,6090,673,S,30908242,431,"3RD AVE & PIKE ST (431)",11:42:57,11:42:46
2016-03-26,6090,673,S,30907981,431,"3RD AVE & PIKE ST (431)",09:30:57,09:29:50
2016-03-26,6090,673,S,30907973,431,"3RD AVE & PIKE ST (431)",07:34:57,07:34:47
2016-03-26,6090,673,S,30908194,431,"3RD AVE & PIKE ST (431)",05:34:57,05:35:03
2016-03-26,6088,673,S,30908012,431,"3RD AVE & PIKE ST (431)",17:18:57,17:13:32
2016-03-26,6088,673,S,30908002,431,"3RD AVE & PIKE ST (431)",14:54:57,14:53:13
2016-03-26,6088,673,S,30907993,431,"3RD AVE & PIKE ST (431)",12:30:57,12:27:55
2016-03-26,6088,673,S,30907983,431,"3RD AVE & PIKE ST (431)",10:06:57,10:06:33
2016-03-26,6088,673,S,30907975,431,"3RD AVE & PIKE ST (431)",08:04:57,08:01:12
2016-03-26,6088,673,S,30907968,431,"3RD AVE & PIKE ST (431)",06:04:57,06:01:55
2016-03-26,6084,673,S,30908017,431,"3RD AVE & PIKE ST (431)",18:30:57,18:30:57
2016-03-26,6084,673,S,30908007,431,"3RD AVE & PIKE ST (431)",16:06:57,16:05:24
2016-03-26,6084,673,S,30908246,431,"3RD AVE & PIKE ST (431)",13:42:57,13:44:36
